Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5pSvjjfsh34sLrkYSNGCl4,"Down Under","Business As Usual","Men At Work",1981,225706,67,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"","Columbia",0.738,0.809,11,-4.368,0,0.026,0.0964,0.00918,0.18,0.906,107.233,4
spotify:track:5zA8vzDGqPl2AzZkEYQGKh,"Uptown Girl","An Innocent Man","Billy Joel",1983-08-08,198294,83,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"soft rock","Columbia",0.701,0.944,4,-2.986,1,0.0455,0.0755,0,0.601,0.792,128.993,4
spotify:track:4zguEJ2UaLe4zbEIDWqiVP,"Hammer To Fall - Remastered 2011","Greatest Hits II (2011 Remaster)","Queen",1991-10-28,218320,64,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"classic rock,rock,glam rock","EMI",0.428,0.787,9,-4.998,1,0.0849,0.315,0.0000203,0.124,0.523,128.582,4
spotify:track:4qO03RMQm88DdpTJcxlglY,"Call Me","Atomic/Atomix","Blondie",1999-01-01,212600,70,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"","Parlophone Catalogue",0.56,0.824,2,-6.711,0,0.0348,0.000785,0.00246,0.0892,0.74,142.667,4
spotify:track:05RgAMGypEvqhNs5hPCbMS,"Panama - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,210226,73,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.526,0.978,8,-5.436,1,0.108,0.00122,0.0000475,0.0744,0.451,141.167,4
spotify:track:44iFQNDCVfv2WHPdn7Wy1R,"Goodbye to Romance","Blizzard Of Ozz (40th Anniversary Expanded Edition)","Ozzy Osbourne",2020-09-18,335872,54,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"metal,glam metal,heavy metal,hard rock","Epic/Legacy",0.46,0.513,2,-6.699,1,0.0323,0.757,0,0.0498,0.517,139.12,4
spotify:track:3vV3cr2TpPqFk07zxYUbla,"Cum on Feel the Noize","Metal Health","Quiet Riot",1983,290960,70,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"glam metal,hard rock,glam rock","Epic/Legacy",0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085,4
spotify:track:2AX5E86cn9n2dgioZEjirI,"Golden Brown","La Folie","The Stranglers",1981,206760,82,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"proto-punk,new wave","Parlophone UK",0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3
spotify:track:0OBwxFLu6Yj61s2OagYbgY,"Gimme All Your Lovin'","Eliminator","ZZ Top",1983-03-23,241080,6,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"southern rock,classic rock,blues rock,rock","Rhino/Warner Records",0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059,4
spotify:track:1nQRg9q9uwALGzouOX5OyQ,"Radio Ga Ga - Remastered 2011","The Works (2011 Remaster)","Queen",1984-02-27,348226,76,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"classic rock,rock,glam rock","EMI",0.744,0.502,5,-7.719,1,0.0359,0.183,0.000228,0.189,0.66,112.344,4
spotify:track:3VPcxdwwo9TcjAOYZa5ZrP,"Flying High Again","Diary Of A Madman","Ozzy Osbourne",1981-11-07,284106,57,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"metal,glam metal,heavy metal,hard rock","Epic/Legacy",0.315,0.938,1,-6.264,1,0.086,0.00499,0.000056,0.19,0.527,125.277,4
spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,"It's The End Of The World As We Know It (And I Feel Fine)","Document (R.E.M. No. 5)","R.E.M.",1987-09-01,246933,67,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"jangle pop,alternative rock,rock","IRS",0.381,0.894,7,-8.638,1,0.037,0.0258,0,0.0251,0.797,205.528,4
spotify:track:39shmbIHICJ2Wxnk1fPSdz,"Should I Stay or Should I Go - Remastered","Combat Rock (Remastered)","The Clash",1982,188987,81,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"punk","Sony Music UK",0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,4
spotify:track:2374M0fQpWi3dLnB54qaLX,"Africa","Toto IV","TOTO",1982-04-08,295282,86,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"yacht rock,soft rock","Columbia",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
spotify:track:2MuWTIM3b0YEAskbeeFE1i,"Master Of Puppets","Master Of Puppets (Remastered)","Metallica",1986-03-03,515386,80,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4
spotify:track:7ACxUo21jtTHzy7ZEV56vU,"Crazy Train","Blizzard Of Ozz (40th Anniversary Expanded Edition)","Ozzy Osbourne",2020-09-18,293183,80,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"metal,glam metal,heavy metal,hard rock","Epic/Legacy",0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4
spotify:track:2Cdvbe2G4hZsnhNMKyGrie,"I Love Rock 'N Roll","I Love Rock 'N' Roll (Expanded Edition)","Joan Jett & the Blackhearts",1981-11-18,175173,78,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"rock","Legacy Recordings",0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,4
spotify:track:1UBQ5GK8JaQjm5VbkBZY66,"Sharp Dressed Man - 2008 Remaster","Eliminator","ZZ Top",1983-03-23,258026,7,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"southern rock,classic rock,blues rock,rock","Rhino/Warner Records",0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,4
spotify:track:2E7W1X4maFFcjHrVrFA7Vs,"Bark at the Moon","Bark At The Moon (Expanded Edition)","Ozzy Osbourne",1983-12-10,257126,69,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"metal,glam metal,heavy metal,hard rock","Epic",0.303,0.961,9,-5.333,0,0.243,0.00253,0.000062,0.132,0.305,146.591,4
spotify:track:2HXixVqzzm9rEUIMAWzshl,"I Hate Myself for Loving You","Up Your Alley","Joan Jett & the Blackhearts",1988-05-23,246800,68,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"rock","CBS Associated",0.611,0.882,9,-11.225,1,0.0538,0.0847,0.00000108,0.192,0.605,117.932,4
spotify:track:2AkmdLbVKS1steeZdy8H1l,"I Want To Break Free - Single Remix","The Works (Deluxe Edition 2011 Remaster)","Queen",1984-02-27,258013,73,false,yuf8m40bafql87jwxb236yybx,2021-08-23T02:42:33Z,"classic rock,rock,glam rock","EMI",0.795,0.435,4,-8.927,1,0.0324,0.0841,0.00026,0.0763,0.596,108.95,4
